peso,valor
100,11039
100,11038
100,11025
100,11026
100,10998
100,10986
100,11010
100,10989
100,11034
100,11072
100,11052
100,10994
100,10958
100,11006
100,11069
100,11033
100,10992
100,10968
100,10968
100,10948
100,10989
100,11053
100,11021
100,11024
100,11039
100,11027
100,11047
100,11021
100,11006
100,11007
100,10993
100,11011
100,11016
100,11015
100,11016
100,11021
100,11047
100,11037
100,10995
100,10983
150,11041
150,11040
150,10994
150,10997
150,11032
150,10996
150,10943
150,10957
150,10979
150,11008
150,11007
150,10955
150,10982
150,10959
150,11000
150,10963
150,10932
150,10950
150,10940
150,10977
150,10992
150,10973
150,10980
150,11013
150,11017
150,11051
150,11072
150,11051
150,11004
150,10977
150,10975
150,10978
150,10964
150,10986
150,11008
150,11019
150,11020
150,10943
150,10960
150,10969
150,10962
150,11021
150,11051
150,11017
150,11015
150,10997
150,10997
150,10993
150,10952
150,10967
150,11006
150,10998
150,11041
150,11044
150,10997
150,10923
150,10947
150,10985
150,10992
150,10934
150,10970
150,11010
150,10971
150,10959
150,10943
150,10966
150,11002
150,11022
150,11002
150,11003
150,10988
150,10995
150,10992
150,10984
150,10991
150,11006
150,11002
150,11002
150,10986
150,10967
150,10962
150,10977
150,11018
150,10990
150,10992
150,11010
150,11025
150,11007
150,10985
150,10997
150,10977
150,10971
150,10965
150,10994
150,11012
150,11030
150,11013
150,10947
150,10981
150,10988
200,10983
200,10972
200,10936
200,10959
200,10982
200,10965
200,10968
200,10999
200,10994
200,10972
200,10966
200,10984
200,10969
200,10975
200,10992
200,11011
200,10993
200,10921
200,10948
200,11018
200,11002
200,10964
200,10985
200,10956
200,10944
200,10938
200,10950
200,10963
200,10993
200,10920
200,10930
200,10998
200,10944
200,10949
200,10961
200,10939
200,10937
200,10935
200,10893
200,10961
200,10990
200,11011
200,10981
200,10950
200,10948
200,10966
200,11016
200,11046
200,10992
200,10974
200,10981
200,10962
200,10957
200,10955
200,10976
200,10942
200,10955
200,10949
200,10952
200,10968
200,11008
200,11036
200,11023
200,10994
200,10953
200,10920
200,10971
200,10962
200,10929
200,10980
200,11009
200,11016
200,10987
200,10991
200,11010
200,10981
200,11006
200,11022
200,10956
200,10931
200,10949
200,11004
200,11027
200,11040
200,11001
200,10977
200,10985
200,10965
200,10969
200,10966
200,11003
200,10992
200,10927
200,10968
200,11007
200,10967
200,10942
200,10946
200,10945
200,10965
250,10953
250,10952
250,11008
250,10999
250,10967
250,10974
250,10983
250,10935
250,10959
250,10946
250,10985
250,10973
250,10927
250,10931
250,10953
250,10972
250,10977
250,10976
250,10984
250,11018
250,11020
250,10974
250,10995
250,10998
250,10936
250,10910
250,10935
250,10966
250,10972
250,10961
250,10939
250,10961
250,10950
250,10923
250,10922
250,10979
250,10947
250,10973
250,11029
250,10962
250,10985
250,10992
250,10968
250,10948
250,10969
250,10980
250,10978
250,11020
250,10982
250,10937
250,10903
250,10962
250,10947
250,10941
250,10921
250,10957
250,10980
250,10969
250,10964
250,10947
250,10968
250,10965
250,10986
250,11016
250,10953
250,10901
250,10964
250,10995
250,10996
250,10996
250,10936
250,10925
250,10941
250,10993
250,10962
250,11016
250,11016
250,11016
250,10987
250,10986
250,10948
250,10980
250,10986
250,11016
250,11005
250,11019
250,10983
250,10917
250,10940
250,10968
250,10921
250,10917
250,10930
250,10943
250,10980
250,10953
250,10963
250,10959
250,11008
250,11024
300,10952
300,10962
300,11006
300,10962
300,10964
300,10962
300,10980
300,11000
300,10952
300,10969
300,10982
300,11001
300,11000
300,11011
300,11040
300,11007
300,11019
300,10997
300,10940
300,10956
300,10956
300,10965
300,10958
300,10940
300,10965
300,10997
300,10946
300,10924
300,10949
300,10984
300,10987
300,10970
300,10984
300,10985
300,10999
300,10975
300,10969
300,10973
300,10975
300,10935
300,10954
300,10975
300,10994
300,10989
300,10956
300,10931
300,10937
300,10967
300,10983
300,10960
300,10965
300,10960
300,10948
300,10993
300,10991
300,10941
300,10944
300,10960
300,10940
300,10922
300,10937
300,10968
300,10940
300,10901
300,10903
300,10924
300,10955
300,10952
300,10906
300,10961
300,10959
300,10935
300,10939
300,10976
300,11010
300,10963
300,10951
300,11005
300,10999
300,10954
300,10979
300,11003
300,10995
300,10964
300,10915
300,10938
300,10978
300,11004
300,10951
300,10948
300,10996
300,10961
300,10877
300,10921
300,10990
300,10953
300,10885
300,10896
300,10916
300,10927
350,10974
350,11010
350,10974
350,10951
350,10964
350,11000
350,10988
350,10934
350,10939
350,10975
350,10942
350,10985
350,10995
350,10986
350,10980
350,10964
350,10982
350,10929
350,10907
350,10941
350,10949
350,10988
350,11042
350,10976
350,11000
350,11013
350,10997
350,10958
350,10933
350,10947
350,10930
350,10923
350,10986
350,11003
350,10998
350,10968
350,10918
350,10976
350,10983
350,10962
350,10981
350,10962
350,10938
350,10973
350,10984
350,10976
350,10950
350,10967
350,10981
350,10977
350,10953
350,10949
350,10979
350,10983
350,10986
350,10967
350,10929
350,10984
350,10964
350,10930
350,10930
350,10944
350,10939
350,10957
350,10986
350,10947
350,10958
350,11003
350,10957
350,10898
350,10935
350,10984
350,10908
350,10955
350,10960
350,10922
350,10948
350,10989
350,11037
350,11008
350,10972
350,10953
350,10934
350,10965
350,10962
350,10963
350,10947
350,10986
350,10983
350,10966
350,10990
350,10972
350,10921
350,10900
350,10918
350,10928
350,10940
350,10912
350,10936
350,10944
400,10991
400,10902
400,10960
400,10961
400,10997
400,11025
400,10948
400,10982
400,11003
400,10980
400,10946
400,11018
400,10978
400,10918
400,10994
400,10974
400,10951
400,10971
400,10974
400,10971
400,10983
400,11000
400,10997
400,10953
400,10969
400,10960
400,10965
400,10954
400,10970
400,10946
400,10993
400,11012
400,10993
400,10999
400,10954
400,10918
400,10969
400,11006
400,11025
400,11002
400,10951
400,10934
400,10965
400,10924
400,10900
400,10926
400,10954
400,10982
400,10998
400,11004
400,10957
400,10968
400,10962
400,10939
400,10969
400,11005
400,10936
400,10938
400,10962
400,10974
400,10950
400,10974
400,10987
400,10995
400,10983
400,10985
400,10990
400,10979
400,10946
400,10963
400,11005
400,10982
400,10971
400,10964
400,11030
400,11029
400,10954
400,10934
400,10958
400,10979
400,10969
400,10964
400,10987
400,10999
400,10939
400,10878
400,10968
400,11018
400,10982
400,10909
400,10933
400,10948
400,10967
400,11017
400,10989
400,10956
400,10955
400,10962
400,10977
400,10976
450,11019
450,10991
450,10914
450,10936
450,10989
450,10968
450,10910
450,10986
450,11020
450,11012
450,11054
450,11056
450,10972
450,10991
450,10981
450,10955
450,10991
450,11030
450,11006
450,10994
450,10976
450,10994
450,10943
450,11004
450,11014
450,10974
450,10973
450,10987
450,10945
450,10932
450,10934
450,10974
450,10948
450,10926
450,10940
450,10941
450,10989
450,10978
450,10961
450,10963
450,10950
450,10947
450,10982
450,11040
450,11011
450,10969
450,10971
450,10942
450,10953
450,10912
450,10879
450,10883
450,10941
450,10950
450,10959
450,10954
450,10893
450,10898
450,10937
450,10923
450,10979
450,10960
450,10928
450,10941
450,10913
450,10899
450,10922
450,10903
450,10947
450,10949
450,10889
450,10909
450,10993
450,10950
450,10902
450,10899
450,10925
450,10909
450,10900
450,10909
450,10972
450,10965
450,10905
450,10928
450,10977
450,10944
450,10974
450,10960
450,10976
450,10984
450,10990
450,10957
450,10880
450,10913
450,10958
450,10982
450,10951
450,10911
450,10897
450,10907
500,10925
500,10895
500,10852
500,10952
500,10971
500,10972
500,10967
500,10948
500,10950
500,10933
500,10958
500,10989
500,10932
500,10892
500,10910
500,10939
500,10951
500,10984
500,10979
500,10969
500,10934
500,10870
500,10927
500,10954
500,10968
500,10996
500,10993
500,10961
500,10928
500,10923
500,10920
500,10936
500,10915
500,10926
500,10913
500,10972
500,10988
500,10918
500,10943
500,10967
500,10960
500,10950
500,10919
500,10910
500,10924
500,10980
500,10972
500,10977
500,10932
500,10912
500,10936
500,10952
500,10957
500,10938
500,10946
500,10967
500,10952
500,10878
500,10880
500,10920
500,10968
500,10988
500,10972
500,10944
500,10930
500,10905
500,10928
500,10888
500,10958
500,10950
500,10935
500,10894
500,10896
500,10964
500,10928
500,10922
500,10945
500,10926
500,10960
500,10932
500,10939
500,10925
500,10909
500,10897
500,10861
500,10928
500,10986
500,11005
500,10928
500,10899
500,10927
500,10956
500,11000
500,10993
500,10903
500,10975
500,10966
500,10946
500,10933
500,10945
550,10975
550,10889
550,10877
550,10884
550,10929
550,10984
550,10941
550,10956
550,10939
550,10974
550,11000
550,10959
550,10943
550,10937
550,10948
550,10915
550,10920
550,10977
550,10934
550,10882
550,10869
550,10850
550,10884
550,10942
550,10900
550,10914
550,10970
550,10959
550,10955
550,10961
550,10951
550,10945
550,10979
550,10960
550,10918
550,10891
550,10977
550,10982
550,10950
550,10899
550,10915
550,10912
550,10918
550,11005
550,10980
550,10977
550,10967
550,10913
550,10902
550,10954
550,10961
550,10922
550,10870
550,10909
550,10886
550,10907
550,10942
550,10917
550,10922
550,10940
550,10917
550,10931
550,10902
550,10923
550,10948
550,10982
550,10966
550,10910
550,10955
550,10912
550,10902
550,10940
550,10954
550,10951
550,10940
550,10948
550,10971
550,10981
550,10950
550,10921
550,10938
550,10937
550,10916
550,10957
550,11019
550,10950
550,10950
550,10970
550,10940
550,10930
550,10925
550,10903
550,10920
550,10990
550,10940
550,10938
550,10936
550,10919
550,10906
550,10967
600,10946
600,10980
600,10951
600,10932
600,10932
600,10904
600,10865
600,10889
600,10969
600,10929
600,10954
600,10915
600,10931
600,10913
600,10917
600,10957
600,10986
600,10976
600,10948
600,10891
600,10905
600,10930
600,10898
600,10913
600,10927
600,10959
600,10969
600,10964
600,10958
600,10955
600,10956
600,10922
600,10973
600,10957
600,10925
600,10917
600,10909
600,10934
600,10963
600,10954
600,10906
600,10894
600,10925
600,10991
600,11002
600,11017
600,10992
600,10992
600,10983
600,10955
600,10963
600,10993
600,10967
600,10934
600,10921
600,10899
600,10876
600,10890
600,10938
600,10971
600,10971
600,10933
600,10980
600,10990
600,10882
600,10918
600,10944
600,10974
600,10974
600,10884
600,10902
600,10942
600,10941
600,10946
600,10961
600,10989
600,10992
600,10949
600,10985
600,10950
600,10910
600,10888
600,10933
600,10970
600,10954
600,10960
600,10912
600,10905
600,10927
600,10948
600,10903
600,10893
600,10903
600,10903
600,10938
600,10939
600,10877
600,10875
600,10915
600,10908
